type,properties/cp,properties/la_name,properties/road,properties/rcat,properties/easting,properties/northing,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,942972,Waltham Forest,WINCHESTER ROAD,BU,538405,191267,Point,-0.002878907055809,51.60318935800317
Feature,942976,Waltham Forest,CRANSTON GARDENS,UU,537730,191982,Point,-0.012338759498754,51.609779759391635
Feature,942978,Waltham Forest,CORMORANT CLOSE,UU,535995,191000,Point,-0.037759986156468,51.60137673218037
Feature,942982,Waltham Forest,Buxton Road,UU,538824,194588,Point,0.004482144396902,51.63292869100959
Feature,942983,Wandsworth,BEDFORD HILL,BU,529283,172280,Point,-0.141481076330593,51.434722117918916
Feature,942984,Wandsworth,CHURCH LANE,BU,528642,171533,Point,-0.150968730527908,51.428154572593066
Feature,942986,Wandsworth,LOWER RICHMOND ROAD,BU,524096,175659,Point,-0.214879715777788,51.46624939830795
Feature,942987,Wandsworth,EARLSFIELD ROAD,BU,526151,173361,Point,-0.186130026866497,51.445142808588884
Feature,942988,Wandsworth,CLARENCE LANE,CU,521480,174332,Point,-0.25297704775885,51.45489009544344
Feature,942990,Wandsworth,BOLINGBROKE GROVE,CU,527126,175084,Point,-0.171489001591093,51.46040980929086
Feature,942991,Wandsworth,ALDRINGTON ROAD,CU,529398,171277,Point,-0.140193692361818,51.425681908687274
Feature,942992,Wandsworth,OLD YORK ROAD,CU,525926,175003,Point,-0.188781935776585,51.45994986934798
Feature,942993,Wandsworth,ABOYNE ROAD,CU,526543,172100,Point,-0.180942688211477,51.43372255903791
Feature,942994,Wandsworth,SUTHERLAND GROVE,UU,524509,174097,Point,-0.209486681474107,51.45212056831997
Feature,942996,Wandsworth,ELLERTON ROAD,UU,526714,173401,Point,-0.178018698321389,51.445376709927956
Feature,942997,Wandsworth,ELSLEY ROAD,UU,528182,175861,Point,-0.156015303184559,51.46715478038295
Feature,942998,Wandsworth,MORRISON STREET,UU,528219,175964,Point,-0.1554455879347,51.46807206958464
Feature,943000,Wandsworth,NIMROD ROAD,UU,528650,170806,Point,-0.151117479908764,51.42161915149166
Feature,943002,Wandsworth,GERALDINE ROAD,UU,526322,174384,Point,-0.183305760776811,51.45429863314021
Feature,943003,Wandsworth,SUNNYMEAD ROAD,UU,522720,174496,Point,-0.235082244671891,51.45609682691176
Feature,943004,Wandsworth,CABUL ROAD,UU,527294,176133,Point,-0.168694604148302,51.46979955862871
Feature,943006,Wandsworth,HURON ROAD,UU,528483,172446,Point,-0.152923619577564,51.43639581857289
Feature,943008,Wandsworth,WEISS ROAD,UU,523757,175694,Point,-0.219745294584251,51.46663813141672
Feature,948011,Barnet,Gallants Farm Road,UU,527600,194000,Point,-0.157815504316247,51.630300294685654
Feature,948016,Bromley,Selby Road,UU,534500,169500,Point,-0.067526158788039,51.408525700095474
Feature,948023,Camden,Polygon Road,UU,529500,183000,Point,-0.134432890406724,51.53101233009366
Feature,948024,Brent,Brondesbury Villas,UU,525100,183450,Point,-0.197672749969929,51.53604781700711
Feature,948027,Croydon,Woodcote Valley Road,UU,530000,161000,Point,-0.135297537206819,51.33318423431499
Feature,948041,Greenwich,Chestnut Rise,UU,545000,178000,Point,0.086822342456409,51.48231926681608
Feature,948043,Hackney,King's Mead Way,UU,536500,185500,Point,-0.032608689332334,51.5518304467367
Feature,948049,Harrow,Augustine Road,UU,514100,190500,Point,-0.353913725591064,51.601740710948704
Feature,948052,Havering,Meadow Way,UU,556000,186000,Point,0.248651814779786,51.551272179847416
Feature,948063,Kensington and Chelsea,Wright's Lane,UU,525500,179500,Point,-0.193314005545851,51.500459886190654
Feature,948075,Merton,Canterbury Road,UU,526000,167500,Point,-0.190383567133164,51.392501944172224
Feature,948086,Southwark,Court Lane,UU,533500,174000,Point,-0.080201152899852,51.449202018979854
Feature,948090,Tower Hamlets,Coborn Road,UU,536660,182900,Point,-0.031311134747406,51.52842743545312
Feature,948098,Westminster,Hamilton Place,UU,528500,180000,Point,-0.149934557887271,51.50427984318141
Feature,948101,Westminster,Petty France,UU,529465,179477,Point,-0.136230169607488,51.49935963791296
Feature,948102,Redbridge,The Drive,CU,542500,188000,Point,0.054886134569612,51.57281249694328
Feature,950372,Merton,Green Lane,BU,525336,167325,Point,-0.199984030157561,51.39107609842707
Feature,951688,Brent,NEASDEN LANE,BU,521417,185550,Point,-0.25002446932631,51.55572484423313
Feature,951690,Brent,CHAPTER ROAD,CU,522495,185028,Point,-0.234664365460057,51.55080061526171
Feature,951691,Brent,BRONDESBURY PARK,CU,523315,184483,Point,-0.223034478771278,51.54572408820164
Feature,951692,Brent,BUCKINGHAM ROAD,UU,521779,183302,Point,-0.245582807564307,51.535443295960874
Feature,951694,Bromley,MACKENZIE ROAD,CU,535633,169296,Point,-0.051323591157031,51.406422787635925
Feature,951696,Bromley,KINGS HALL ROAD,CU,536623,170276,Point,-0.036721384587847,51.414992112228205
Feature,951697,Bromley,BARNET WOOD ROAD,UR,541040,165548,Point,0.024877396898297,51.37142463408209
Feature,951698,Bromley,FORDE AVENUE,UU,541074,169064,Point,0.026761380771876,51.403011661823854
Feature,951699,Bromley,MERLIN GROVE,UU,537225,167945,Point,-0.028970950328989,51.393899374199414
Feature,951700,Bromley,BRIARY GARDENS,UU,540734,171342,Point,0.022780140324547,51.42356657434255
Feature,951701,Camden,SPANIARDS ROAD,BU,526422,186757,Point,-0.177434393359961,51.56547362040118
Feature,951702,Camden,GATE STREET,UU,530618,181463,Point,-0.118893612504988,51.51694234967631
Feature,951703,Camden,ALVANLEY GARDENS,UU,525830,185148,Point,-0.186546327495355,51.55114575731717
Feature,951704,Camden,YORK RISE,UU,528657,186240,Point,-0.145395623430266,51.56032235047175
Feature,951705,Westminster,WALTERTON ROAD,BU,525102,182479,Point,-0.197988607987313,51.52732085279971
Feature,951707,Greenwich,HADDEN ROAD,UU,545102,179156,Point,0.088765026767572,51.49268058476243
Feature,951709,Greenwich,NIGHTINGALE VALE,UU,543555,177929,Point,0.065997823550269,51.48204960860618
Feature,951710,Greenwich,Salutation Way,UU,539529,178800,Point,0.008400223997253,51.490883316359216
Feature,951711,Haringey,HORNSEY PARK ROAD,BU,530934,189900,Point,-0.11120316755841,51.592689895950116
Feature,951712,Hounslow,EALING ROAD,BU,518173,177685,Point,-0.299430711262303,51.48572533246303
Feature,951713,Hounslow,WHITTON ROAD,BU,513853,174678,Point,-0.362589413717774,51.45958385436932
Feature,951715,Hounslow,WORTON ROAD,CU,514931,175378,Point,-0.346852058042137,51.465657763939205
Feature,951718,Hounslow,NORTH STREET,UU,516272,175970,Point,-0.327361117288378,51.47070488887572
Feature,951719,Barnet,WINNINGTON ROAD,UU,526569,187888,Point,-0.174907583768429,51.575604942265734
Feature,951720,Bexley,COOTE ROAD,UU,548560,176754,Point,0.137530504132918,51.47020025054636
Feature,951721,Croydon,MORLAND ROAD,BU,533602,166576,Point,-0.081529894932104,51.38246052038137
Feature,951723,Croydon,COVINGTON WAY,UU,531075,170478,Point,-0.116381562083533,51.418116297291185
Feature,951724,Croydon,GREENWOOD ROAD,UU,532011,166976,Point,-0.104230647336186,51.3864272522507
Feature,951725,Croydon,MOSSLEA ROAD,UU,533596,158979,Point,-0.08446574104671,51.314188859590224
Feature,951726,Croydon,WOODSIDE GREEN,UU,534445,167242,Point,-0.069171312698317,51.388246777955494
Feature,951734,Harrow,PARKSIDE WAY,CU,513944,189144,Point,-0.356605233299923,51.58958481167334
Feature,951735,Harrow,ALGAR CLOSE,UU,515915,192113,Point,-0.327185865852773,51.61586747013228
Feature,951736,Harrow,YEADING AVENUE,UU,512322,187237,Point,-0.380618496475547,51.57277023674898
Feature,951737,Harrow,VENTNOR AVENUE,UU,516880,190498,Point,-0.313792256862906,51.60115315041303
Feature,951738,Harrow,PINEWOOD AVENUE,UU,513683,191605,Point,-0.359574187800229,51.611756482147044
Feature,951740,Lewisham,SANFORD STREET,BU,536259,177307,Point,-0.039247311433053,51.478263509650766
Feature,951742,Lewisham,ALBACORE CRESCENT,UU,537697,174373,Point,-0.019695007819484,51.45154968668348
Feature,951743,Merton,WINDSOR AVENUE,CU,526375,169562,Point,-0.184262631261175,51.41095039194009
Feature,951744,Merton,MALMESBURY ROAD,UU,526270,167226,Point,-0.186602271564044,51.38997944775912
Feature,951745,Newham,TINTO ROAD,UU,540344,182013,Point,0.021409450214306,51.519553923582286
Feature,951746,Richmond upon Thames,STANLEY ROAD,BU,514995,171977,Point,-0.347035607845053,51.43507665992198
Feature,951747,Richmond upon Thames,LINCOLN AVENUE,UU,514513,173155,Point,-0.353586063430936,51.445762101489755
Feature,951748,Kingston upon Thames,ELMBRIDGE AVENUE,CU,519976,167745,Point,-0.276841805249442,51.39600864849499
Feature,951751,Sutton,HILLIER'S LANE,BU,530114,165198,Point,-0.132128079588876,51.37088602205849
Feature,951753,Sutton,AUTUMN DRIVE,UU,525569,162548,Point,-0.198323184582256,51.34809183042485
Feature,951754,Sutton,REDFORD AVENUE,UU,530022,163594,Point,-0.134035123359875,51.35649179361281
Feature,951755,Sutton,WESTMINSTER ROAD,UU,526627,166089,Point,-0.181879181115702,51.37968140473294
Feature,951756,Sutton,LEAFIELD ROAD,UU,525202,165648,Point,-0.202499662876775,51.37603378948713
Feature,951759,Tower Hamlets,GARNET STREET,CU,535068,180631,Point,-0.055116155793563,51.50841997856345
Feature,951760,Tower Hamlets,BROMLEY HIGH STREET,CU,537673,182842,Point,-0.016739697125373,51.527660348628544
Feature,951761,Tower Hamlets,ALPHA GROVE,UU,537328,179645,Point,-0.022954461601424,51.49901519515181
